ID,単語 Word,発音記号,品詞,難易度 CEFR,カテゴリ,日本語訳,例文 Example,例文訳,語源・語根,接頭辞,類義語 Synonyms,反義語 Antonyms,IELTS頻度,英検頻度,大学入試頻度,総合優先度
125,edge,,名/他,,IELTS VOCAB,端；優位；刃,The UX designer documented the edge in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関する端、優位、刃を記録した。,,,,,★★★,,,🔴 必須
126,advantage,,名/他,,IELTS VOCAB,利点；優位性,The UX designer documented the advantage in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関する利点、優位性を記録した。,,,,,★★★,,,🔴 必須
129,length,,名/他,,IELTS VOCAB,長さ；期間,The UX designer documented the length in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する長さ、期間を記録した。,,,,,★★★,,,🔴 必須
130,vote,,動/句,,IELTS VOCAB,投票する；票,"The UX designer used the term ""vote"" when describing how to improve the settings page.",UXデザイナーは、設定画面を改善する方法を説明する際に「vote」という語を使った。,,,,,★★★,,,🔴 必須
131,possibly,,動/句,,IELTS VOCAB,もしかすると；おそらく,"The UX designer used the term ""possibly"" when describing how to improve the account setup flow.",UXデザイナーは、アカウント設定フローを改善する方法を説明する際に「possibly」という語を使った。,,,,,★★★,,,🔴 必須
132,nevertheless,,名/他,,IELTS VOCAB,それにもかかわらず,The UX designer documented the nevertheless in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関するそれにもかかわらずを記録した。,,,,,★★★,,,🔴 必須
133,insurance,,名/他,,IELTS VOCAB,保険,The UX designer documented the insurance in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する保険を記録した。,,,,,★★★,,,🔴 必須
134,strength,,名/他,,IELTS VOCAB,強さ；体力,The UX designer documented the strength in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する強さ、体力を記録した。,,,,,★★★,,,🔴 必須
135,crime,,名/他,,IELTS VOCAB,犯罪,The UX designer documented the crime in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する犯罪を記録した。,,,,,★★★,,,🔴 必須
136,transfer,,動/句,,IELTS VOCAB,移す；転送する,"The UX designer used the term ""transfer"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「transfer」という語を使った。,,,,,★★★,,,🔴 必須
137,measure,,動/句,,IELTS VOCAB,測定する；対策；程度,"The UX designer used the term ""measure"" when describing how to improve the navigation model.",UXデザイナーは、ナビゲーションモデルを改善する方法を説明する際に「measure」という語を使った。,,,,,★★★,,,🔴 必須
138,confidence,,名/他,,IELTS VOCAB,自信；信頼,The UX designer documented the confidence in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する自信、信頼を記録した。,,,,,★★★,,,🔴 必須
139,address,,動/句,,IELTS VOCAB,取り組む；演説する,"The UX designer used the term ""address"" when describing how to improve the support article.",UXデザイナーは、サポート記事を改善する方法を説明する際に「address」という語を使った。,,,,,★★★,,,🔴 必須
140,require,,動/句,,IELTS VOCAB,必要とする；要求する,"The UX designer used the term ""require"" when describing how to improve the error message.",UXデザイナーは、エラーメッセージを改善する方法を説明する際に「require」という語を使った。,,,,,★★★,,,🔴 必須
142,ordinary,,名/他,,IELTS VOCAB,普通の；日常の,The UX designer documented the ordinary in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関する普通の、日常のを記録した。,,,,,★★★,,,🔴 必須
143,previously,,名/他,,IELTS VOCAB,以前に；前回は,The UX designer documented the previously in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関する以前に、前回はを記録した。,,,,,★★★,,,🔴 必須
146,challenge,,名/他,,IELTS VOCAB,挑戦；異議を唱える,"The UX designer used the term ""challenge"" when describing how to improve the settings page.",UXデザイナーは、設定画面を改善する方法を説明する際に「challenge」という語を使った。,,,,,★★★,,,🔴 必須
147,achieve,,動/句,,IELTS VOCAB,達成する；成し遂げる,"The UX designer used the term ""achieve"" when describing how to improve the account setup flow.",UXデザイナーは、アカウント設定フローを改善する方法を説明する際に「achieve」という語を使った。,,,,,★★★,,,🔴 必須
148,extremely,,名/他,,IELTS VOCAB,非常に；極めて,The UX designer documented the extremely in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する非常に、極めてを記録した。,,,,,★★★,,,🔴 必須
